"filename", "language", "JavaScript", "JSON", "XML", "SCSS", "HTML", "comment", "blank", "total"
"d:\WEB\Web Projects\web\st12_react\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"d:\WEB\Web Projects\web\st12_react\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 9
"d:\WEB\Web Projects\web\st12_react\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 8
"d:\WEB\Web Projects\web\st12_react\.idea\st12_react.iml", "XML", 0, 0, 9, 0, 0, 0, 0, 9
"d:\WEB\Web Projects\web\st12_react\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"d:\WEB\Web Projects\web\st12_react\.idea\workspace.xml", "XML", 0, 0, 77, 0, 0, 0, 0, 77
"d:\WEB\Web Projects\web\st12_react\backend\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 8, 31
"d:\WEB\Web Projects\web\st12_react\backend\middleware\auth.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 21
"d:\WEB\Web Projects\web\st12_react\backend\models\dishModel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\WEB\Web Projects\web\st12_react\backend\models\orderModel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\WEB\Web Projects\web\st12_react\backend\models\shoppingCart.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"d:\WEB\Web Projects\web\st12_react\backend\models\userModel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\WEB\Web Projects\web\st12_react\backend\package.json", "JSON", 0, 20, 0, 0, 0, 0, 1, 21
"d:\WEB\Web Projects\web\st12_react\backend\routes\cartRoute.js", "JavaScript", 48, 0, 0, 0, 0, 0, 6, 54
"d:\WEB\Web Projects\web\st12_react\backend\routes\dishRoute.js", "JavaScript", 118, 0, 0, 0, 0, 0, 12, 130
"d:\WEB\Web Projects\web\st12_react\backend\routes\ordersRoute.js", "JavaScript", 61, 0, 0, 0, 0, 0, 7, 68
"d:\WEB\Web Projects\web\st12_react\backend\routes\userRoute.js", "JavaScript", 146, 0, 0, 0, 0, 0, 36, 182
"d:\WEB\Web Projects\web\st12_react\package-lock.json", "JSON", 0, 14645, 0, 0, 0, 0, 1, 14646
"d:\WEB\Web Projects\web\st12_react\package.json", "JSON", 0, 58, 0, 0, 0, 0, 1, 59
